DAC,Laser Power
0,1.00187e-05
1,4.00583e-06
2,1.00187e-05
3,6.00934e-06
4,6.00934e-06
5,8.01402e-06
6,-3.5211e-09
7,4.00583e-06
8,6.00934e-06
9,1.00187e-05
10,1.00187e-05
11,6.00934e-06
12,8.01402e-06
13,4.00583e-06
14,8.01402e-06
15,-3.5211e-09
16,4.00583e-06
17,-3.5211e-09
18,1.20222e-05
19,8.01402e-06
20,1.00187e-05
21,6.00934e-06
22,-3.5211e-09
23,8.01402e-06
24,8.01402e-06
25,6.00934e-06
26,1.20222e-05
27,6.00934e-06
28,8.01402e-06
29,8.01402e-06
30,6.00934e-06
31,4.00583e-06
32,8.01402e-06
33,6.00934e-06
34,1.20222e-05
35,4.00583e-06
36,2.00116e-06
37,1.20222e-05
38,1.40269e-05
39,8.01402e-06
40,8.01402e-06
41,6.00934e-06
42,1.00187e-05
43,2.00116e-06
44,1.00187e-05
45,2.00116e-06
46,8.01402e-06
47,8.01402e-06
48,4.00583e-06
49,8.01402e-06
50,8.01402e-06
51,8.01402e-06
52,6.00934e-06
53,1.00187e-05
54,4.00583e-06
55,4.00583e-06
56,8.01402e-06
57,-2.00702e-06
58,1.20222e-05
59,-3.5211e-09
60,2.00116e-06
61,-3.5211e-09
62,6.00934e-06
63,1.20222e-05
64,1.40269e-05
65,-2.00702e-06
66,-3.5211e-09
67,6.00934e-06
68,1.00187e-05
69,4.00583e-06
70,2.00116e-06
71,6.00934e-06
72,4.00583e-06
73,6.00934e-06
74,8.01402e-06
75,1.00187e-05
76,4.00583e-06
77,8.01402e-06
78,1.20222e-05
79,1.00187e-05
80,1.60316e-05
81,6.00934e-06
82,4.00583e-06
83,1.00187e-05
84,1.20222e-05
85,4.00583e-06
86,1.00187e-05
87,1.20222e-05
88,1.00187e-05
89,-3.5211e-09
90,1.40269e-05
91,6.00934e-06
92,8.01402e-06
93,2.00116e-06
94,4.00583e-06
95,4.00583e-06
96,2.00116e-06
97,8.01402e-06
98,8.01402e-06
99,8.01402e-06
100,8.01402e-06
101,8.01402e-06
102,8.01402e-06
103,4.00583e-06
104,8.01402e-06
105,6.00934e-06
106,1.00187e-05
107,8.01402e-06
108,8.01402e-06
109,1.60316e-05
110,1.00187e-05
111,1.60316e-05
112,1.00187e-05
113,6.00934e-06
114,1.20222e-05
115,1.40269e-05
116,4.00583e-06
117,8.01402e-06
118,8.01402e-06
119,1.80351e-05
120,1.20222e-05
121,1.40269e-05
122,1.00187e-05
123,1.60316e-05
124,6.00934e-06
125,2.20444e-05
126,1.80351e-05
127,2.20444e-05
128,1.60316e-05
129,1.80351e-05
130,1.40269e-05
131,1.80351e-05
132,8.01402e-06
133,1.80351e-05
134,1.80351e-05
135,2.80573e-05
136,2.60526e-05
137,3.00608e-05
138,2.40479e-05
139,3.60736e-05
140,3.20655e-05
141,3.40701e-05
142,3.80783e-05
143,3.40701e-05
144,3.60736e-05
145,3.80783e-05
146,4.20865e-05
147,4.60958e-05
148,4.60958e-05
149,4.60958e-05
150,6.01251e-05
151,6.01251e-05
152,6.61379e-05
153,6.61379e-05
154,6.61379e-05
155,6.81426e-05
156,8.41765e-05
157,7.41555e-05
158,7.21508e-05
159,8.61812e-05
160,9.01894e-05
161,8.61812e-05
162,9.41975e-05
163,9.62022e-05
164,0.000102215
165,9.41975e-05
166,0.000110233
167,0.000108228
168,0.000118249
169,0.000120254
170,0.000116245
171,0.000120254
172,0.000122258
173,0.000134284
174,0.000130275
175,0.000126267
176,0.000138292
177,0.000144305
178,0.000148313
179,0.000144305
180,0.000152321
181,0.000158334
182,0.000154326
183,0.000160339
184,0.000166352
185,0.000168357
186,0.000160339
187,0.000172365
188,0.000176373
189,0.000174369
190,0.000180382
191,0.000180382
192,0.000190403
193,0.000194411
194,0.000198421
195,0.000206437
196,0.000206437
197,0.000202429
198,0.000210447
199,0.000218463
200,0.000218463
201,0.000224476
202,0.000218463
203,0.000220468
204,0.000222472
205,0.000236501
206,0.000236501
207,0.000242514
208,0.000234497
209,0.000238506
210,0.000250532
211,0.000250532
212,0.000256545
213,0.000260553
214,0.000266566
215,0.00025454
216,0.000264561
217,0.000270574
218,0.000266566
219,0.000278591
220,0.0002826
221,0.000278591
222,0.000288613
223,0.000286609
224,0.000292622
225,0.000286609
226,0.00029663
227,0.000292622
228,0.000300638
229,0.000308656
230,0.000300638
231,0.000318677
232,0.000316672
233,0.000322685
234,0.000316672
235,0.000318677
236,0.000332707
237,0.000330703
238,0.00033872
239,0.000340724
240,0.00033872
241,0.000346736
242,0.000350746
243,0.000354754
244,0.000348741
245,0.000350746
246,0.000358762
247,0.000360767
248,0.00036678
249,0.00036678
250,0.000378805
251,0.00036678
252,0.000382814
253,0.000386823
254,0.000386823
255,0.000382814
256,0.000384818
257,0.000396844
258,0.000390831
259,0.000394839
260,0.000402857
261,0.000412878
262,0.000410873
263,0.00040887
264,0.000416886
265,0.000422899
266,0.000422899
267,0.000430916
268,0.000426908
269,0.000434925
270,0.000442942
271,0.000438934
272,0.000448955
273,0.000442942
274,0.000448955
275,0.000452963
276,0.000456973
277,0.000456973
278,0.000456973
279,0.000460981
280,0.000464989
281,0.00047501
282,0.000477015
283,0.000466994
284,0.00047501
285,0.000481023
286,0.000485032
287,0.000485032
288,0.00048904
289,0.000499061
290,0.000497058
291,0.000501066
292,0.000499061
293,0.000503071
294,0.000499061
295,0.000511087
296,0.000519105
297,0.000513092
298,0.000521109
299,0.000527122
300,0.00053113
301,0.000529126
302,0.000537143
303,0.000541151
304,0.000543156
305,0.000537143
306,0.000547164
307,0.000549169
308,0.000557185
309,0.000553177
310,0.000557185
311,0.000569211
312,0.000569211
313,0.000579233
314,0.000565203
315,0.000571216
316,0.000567208
317,0.000585246
318,0.000589254
319,0.000585246
320,0.000581237
321,0.00060128
322,0.000593262
323,0.000597272
324,0.000607293
325,0.000607293
326,0.000603285
327,0.00061531
328,0.000617314
329,0.000619319
330,0.00061531
331,0.000627336
332,0.000621323
333,0.000631344
334,0.000635353
335,0.000635353
336,0.000645374
337,0.000635353
338,0.000647378
339,0.000649383
340,0.000647378
341,0.000661409
342,0.000655396
343,0.000661409
344,0.000667421
345,0.00067143
346,0.000679447
347,0.000669425
348,0.000675438
349,0.000683455
350,0.000689468
351,0.000683455
352,0.000691473
353,0.000693476
354,0.000699489
355,0.000695481
356,0.000701494
357,0.000709511
358,0.000711515
359,0.000715523
360,0.000715523
361,0.000709511
362,0.000725545
363,0.000727549
364,0.000729554
365,0.000729554
366,0.000733562
367,0.000739575
368,0.000741579
369,0.000743584
370,0.000749597
371,0.0007516
372,0.000749597
373,0.000753605
374,0.000767635
375,0.000761623
376,0.000761623
377,0.000761623
378,0.000767635
379,0.000777656
380,0.000771644
381,0.000771644
382,0.000787677
383,0.000787677
384,0.000791687
385,0.000787677
386,0.000787677
387,0.000795695
388,0.000799703
389,0.000799703
390,0.000805716
391,0.000807721
392,0.000813734
393,0.000811729
394,0.000817742
395,0.000819746
396,0.000823755
397,0.000823755
398,0.000833776
399,0.000841793
400,0.000843798
401,0.000843798
402,0.000851814
403,0.000853819
404,0.000851814
405,0.000855824
406,0.00086384
407,0.000857827
408,0.00086384
409,0.000871858
410,0.000867849
411,0.000871858
412,0.000881879
413,0.00087787
414,0.00087787
415,0.000883883
416,0.0008919
417,0.000889896
418,0.000895909
419,0.000895909
420,0.000893904
421,0.000899917
422,0.000907935
423,0.000913948
424,0.000909938
425,0.00091996
426,0.000913948
427,0.000917956
428,0.000927977
429,0.000935994
430,0.000929981
431,0.000931986
432,0.000940002
433,0.000944012
434,0.000952028
435,0.000950025
436,0.000950025
437,0.000952028
438,0.000956036
439,0.000950025
440,0.000958041
441,0.000952028
442,0.000958041
443,0.000970067
444,0.000980088
445,0.000980088
446,0.000978084
447,0.000986101
448,0.000986101
449,0.000994118
450,0.000988105
451,0.000994118
452,0.00100013
453,0.00101216
454,0.00100815
455,0.00101616
456,0.00100815
457,0.00101817
458,0.00101616
459,0.00102218
460,0.00102619
461,0.0010322
462,0.0010322
463,0.00103621
464,0.00103621
465,0.00104022
466,0.00104222
467,0.00104222
468,0.00105625
469,0.00105224
470,0.00105825
471,0.00106427
472,0.00105825
473,0.00106828
474,0.00106627
475,0.00107028
476,0.00107028
477,0.0010783
478,0.0010803
479,0.00109032
480,0.00108231
481,0.00108231
482,0.00108231
483,0.00109433
484,0.00110034
485,0.00110034
486,0.00110235
487,0.00111037
488,0.00110836
489,0.00110836
490,0.00111638
491,0.00112239
492,0.00111838
493,0.00112239
494,0.00113041
495,0.0011264
496,0.00113442
497,0.00113442
498,0.00113843
499,0.00114244
500,0.00114244
501,0.00114644
502,0.00115045
503,0.00115045
504,0.00115646
505,0.00116448
506,0.00116649
507,0.00117049
508,0.0011745
509,0.00117651
510,0.00117651
511,0.00118653
512,0.00118452
513,0.00118452
514,0.00119254
515,0.00118853
516,0.00120056
517,0.00119855
518,0.00120256
519,0.00120657
520,0.00120256
521,0.00120858
522,0.00121659
523,0.00121258
524,0.00122461
525,0.00122661
526,0.00123062
527,0.00122261
528,0.00124064
529,0.00123463
530,0.00123864
531,0.00124465
532,0.00124666
533,0.00125267
534,0.00125868
535,0.00125467
536,0.00125067
537,0.00126269
538,0.0012687
539,0.00127271
540,0.0012667
541,0.00127472
542,0.00128273
543,0.00127472
544,0.00128674
545,0.00129075
546,0.00128875
547,0.00129276
548,0.00129476
549,0.00129877
550,0.00129877
551,0.00130679
552,0.00130478
553,0.0013128
554,0.0013128
555,0.00131079
556,0.0013148
557,0.00132683
558,0.00132282
559,0.00133284
560,0.00132683
561,0.00133685
562,0.00133485
563,0.00134487
564,0.00134687
565,0.00134286
566,0.00134487
567,0.00135088
568,0.00135689
569,0.00136691
570,0.00136491
571,0.00135489
572,0.00135689
573,0.00137694
574,0.00137092
575,0.00138495
576,0.00138295
577,0.00138295
578,0.00138696
579,0.00139297
580,0.00138896
581,0.00140099
582,0.00139497
583,0.00139898
584,0.001409
585,0.001409
586,0.001407
587,0.00141903
588,0.00141301
589,0.00142504
590,0.00142504
591,0.00142704
592,0.00143105
593,0.00143706
594,0.00143706
595,0.00143706
596,0.00143907
597,0.00144708
598,0.00145109
599,0.00144909
600,0.00145711
601,0.00144708
602,0.00146111
603,0.00146512
604,0.00146312
605,0.00147514
606,0.00147514
607,0.00148116
608,0.00147514
609,0.00147715
610,0.00149719
611,0.00148717
612,0.00149719
613,0.00149318
614,0.00149719
615,0.0015012
616,0.0015032
617,0.00150521
618,0.00150721
619,0.00151723
620,0.00151924
621,0.00151924
622,0.00152525
623,0.00152926
624,0.00152726
625,0.00154129
626,0.00152926
627,0.00154329
628,0.00153527
629,0.0015473
630,0.0015493
631,0.0015493
632,0.00156133
633,0.00155532
634,0.00156534
635,0.00155932
636,0.00156935
637,0.00156333
638,0.00157135
639,0.00157736
640,0.00158137
641,0.00158738
642,0.00157937
643,0.00158738
644,0.00158939
645,0.00159741
646,0.0015954
647,0.00159741
648,0.0015934
649,0.00160342
650,0.00160342
651,0.00161745
652,0.00161945
653,0.00162146
654,0.00161544
655,0.00162346
656,0.00162346
657,0.00162346
658,0.00163348
659,0.0016395
660,0.0016415
661,0.0016395
662,0.00164751
663,0.00165152
664,0.00165353
665,0.00164751
666,0.00165152
667,0.00165152
668,0.00166555
669,0.00166755
670,0.00166755
671,0.00167357
672,0.00167156
673,0.00167557
674,0.00167758
675,0.00168559
676,0.00168159
677,0.0016896
678,0.00169561
679,0.00169561
680,0.00169762
681,0.00170163
682,0.00170363
683,0.00170363
684,0.00171165
685,0.00171365
686,0.00171365
687,0.00171365
688,0.00172969
689,0.00172167
690,0.00172368
691,0.0017357
692,0.0017357
693,0.00173971
694,0.00174372
695,0.00174973
696,0.00174973
697,0.00175374
698,0.00175975
699,0.00175775
700,0.00176576
701,0.00176176
702,0.00176977
703,0.00176777
704,0.00175975
705,0.00177779
706,0.00177779
707,0.00177178
708,0.00178581
709,0.00177979
710,0.00178781
711,0.00179783
712,0.00179382
713,0.00179182
714,0.00180785
715,0.00180585
716,0.00180385
717,0.00180385
718,0.00181387
719,0.00181186
720,0.00181788
721,0.00181186
722,0.00181988
723,0.00182589
724,0.0018279
725,0.0018299
726,0.00183591
727,0.00183792
728,0.00184193
729,0.00184193
730,0.00185195
731,0.00185395
732,0.00185796
733,0.00185997
734,0.00186598
735,0.00185596
736,0.00185997
737,0.00186999
738,0.00186798
739,0.00187199
740,0.001878
741,0.00188402
742,0.00188001
743,0.00188803
744,0.00189404
745,0.00189805
746,0.00189404
747,0.00189203
748,0.00190005
749,0.00190807
750,0.00190406
751,0.00191609
752,0.00190606
753,0.00191609
754,0.00191809
755,0.00192009
756,0.00191809
757,0.00193613
758,0.00193412
759,0.00193212
760,0.00194214
761,0.00193613
762,0.00194415
763,0.00194815
764,0.00195216
765,0.00196419
766,0.00195216
767,0.00196419
768,0.00196018
769,0.00196619
770,0.00196419
771,0.00197421
772,0.00197421
773,0.00198223
774,0.00198423
775,0.00198022
776,0.00198824
777,0.00199425
778,0.00199425
779,0.00199425
780,0.00200026
781,0.00200427
782,0.00200628
783,0.00201029
784,0.00201229
785,0.0020163
786,0.00202632
787,0.00202031
788,0.00202432
789,0.00203233
790,0.00202632
791,0.00203634
792,0.00203233
793,0.00203634
794,0.00204235
795,0.00204436
796,0.00205438
797,0.00205238
798,0.00205839
799,0.0020624
800,0.00206641
801,0.0020644
802,0.0020624
803,0.00206841
804,0.00207843
805,0.00207242
806,0.00208044
807,0.00208244
808,0.00208645
809,0.00209046
810,0.00208845
811,0.00209847
812,0.00209246
813,0.00210649
814,0.00209647
815,0.00210449
816,0.0021085
817,0.00210649
818,0.00212253
819,0.0021125
820,0.00212453
821,0.00213255
822,0.00212854
823,0.00213054
824,0.00213255
825,0.00213856
826,0.00213656
827,0.00213856
828,0.00214257
829,0.00215059
830,0.00214658
831,0.00216061
832,0.0021586
833,0.00217063
834,0.00217263
835,0.00216662
836,0.00217263
837,0.00218065
838,0.00217865
839,0.00217464
840,0.00217865
841,0.00218466
842,0.00218065
843,0.00219468
844,0.00219067
845,0.00219869
846,0.0022027
847,0.0022047
848,0.00221272
849,0.00221472
850,0.00221472
851,0.00221071
852,0.00221873
853,0.00222474
854,0.00222474
855,0.00223076
856,0.00223076
857,0.00223476
858,0.00224078
859,0.00224679
860,0.00224078
861,0.0022528
862,0.00224479
863,0.00225882
864,0.0022488
865,0.00225882
866,0.00226283
867,0.00226283
868,0.00226683
869,0.00226884
870,0.00227685
871,0.00227285
872,0.00227886
873,0.00228487
874,0.00228888
875,0.00229089
876,0.00229289
877,0.0022989
878,0.00230091
879,0.00230291
880,0.00229489
881,0.00230091
882,0.00230492
883,0.00230892
884,0.00231293
885,0.00232696
886,0.00232095
887,0.00232295
888,0.00233899
889,0.00232897
890,0.00233498
891,0.00233899
892,0.00233899
893,0.00233698
894,0.002343
895,0.002343
896,0.002347
897,0.00235502
898,0.00235703
899,0.00236705
900,0.00236103
901,0.00236905
902,0.00237507
903,0.00237306
904,0.00237106
905,0.00237707
906,0.00238108
907,0.00239511
908,0.0023931
909,0.0023931
910,0.0023931
911,0.00240112
912,0.00240713
913,0.00240914
914,0.00240713
915,0.00241515
916,0.00241315
917,0.00241715
918,0.00242517
919,0.00242517
920,0.00242718
921,0.00242918
922,0.00242718
923,0.00243319
924,0.00244321
925,0.00243319
926,0.00244722
927,0.00245323
928,0.00245123
929,0.00246726
930,0.00245924
931,0.00246325
932,0.00246726
933,0.00247528
934,0.00247127
935,0.00247327
936,0.0024833
937,0.0024853
938,0.00248129
939,0.00248931
940,0.00249332
941,0.00248931
942,0.00250133
943,0.00249332
944,0.00250534
945,0.00250935
946,0.00250735
947,0.00251937
948,0.00250735
949,0.00251937
950,0.00252338
951,0.00252539
952,0.00252539
953,0.00252338
954,0.00252939
955,0.00253541
956,0.0025334
957,0.00254142
958,0.00253942
959,0.00254543
960,0.00254944
961,0.00254944
962,0.00255745
963,0.00256146
964,0.00255946
965,0.00256748
966,0.00256748
967,0.00257148
968,0.0025795
969,0.0025795
970,0.0025795
971,0.00258952
972,0.00259153
973,0.00258551
974,0.00259554
975,0.00259353
976,0.00259954
977,0.00260556
978,0.00261157
979,0.00261558
980,0.00261558
981,0.00261357
982,0.00261959
983,0.00262359
984,0.00262159
985,0.00262961
986,0.0026276
987,0.00263161
988,0.00263963
989,0.00263763
990,0.00263963
991,0.00264765
992,0.00264564
993,0.00265767
994,0.00265566
995,0.00265165
996,0.00265967
997,0.00266368
998,0.00266769
999,0.0026737
1000,0.00266568
1001,0.0026737
1002,0.00267972
1003,0.00267972
1004,0.00267771
1005,0.00268372
1006,0.00268974
1007,0.00269575
1008,0.00269976
1009,0.00269775
1010,0.00270978
